id,goodreads_desc,google_desc
33,"At Cafe de la Paix, a fashionable Covent Garden restaurant, business is under threat and murder is on the menu...Beautiful, spoilt Selina Marsh-Hayden and her childhood friend, plain and practical Judith Delves, have worked together to make their restaurant Cafe de la Paix a stunning success. So successful, in fact, that outside parties have begun to take an interest. Bria
At Cafe de la Paix, a fashionable Covent Garden restaurant, business is under threat and murder is on the menu...Beautiful, spoilt Selina Marsh-Hayden and her childhood friend, plain and practical Judith Delves, have worked together to make their restaurant Cafe de la Paix a stunning success. So successful, in fact, that outside parties have begun to take an interest. Brian Rubin wants to buy them up to add to his own chain of restaurants, and Selina and her shareholders—her near-bankrupt husband Richard, Judith's lover Michael and debt-ridden chef Tony Gallagher—want to sell.But Selina backs down mid-negotiations and deadlock is reached. Then she is found strangled, and it suddenly seems that Cafe de la Paix has become an asset worth killing for. There is no shortage of suspects, but DCS John McLeish and his strong-minded wife Francesca must investigate a fire, an attempted murder and evidence of financial and sexual indiscretions at the restaurant before the truth can finally be revealed.
...more",Money and murder make a riveting mix in Janet Neel's sixth crime novel to feature Francesca Wilson and DCI John McLeith. Neel won the Crime Writers' Association John Creasey Award and has twice been shortlisted for the Gold Dagger Award.
36,Book by JOHN NICHOL,"Flight lieutenant Mark Hunter, one of the RAF's most ambitious pilots, discovers that it was not the Iraqis who used the most virulent strains of chemical warfare during the Gulf War. The Pentagon and Whitehall will stop at nothing to ensure that a deadly skeleton from Desert Storm remains buried."
39,"Whoever said living well is the best revenge never met the Sisterhood...Together, the seven fearless friends known as the Sisterhood have served sweet justice to villians who thought they were above the law. But paycheck has its price, and the Sisterhood&aposs last assignment almost landed them in jail. Now the women are fugitives with a bounty on their heads, but they&aposre not 
Whoever said living well is the best revenge never met the Sisterhood...Together, the seven fearless friends known as the Sisterhood have served sweet justice to villians who thought they were above the law. But paycheck has its price, and the Sisterhood's last assignment almost landed them in jail. Now the women are fugitives with a bounty on their heads, but they're not planning on hiding out for long—not when good friends need the kind of help only they can give.Mitch Riley, the ruthless assistant director of the FBI, intends to frames Cornelia ""Nellie"" Easter, the judge who helped the Sisterhood evade prison, and their lawyer, Lizzie Fox, in order to save his own career. He's created a special task force to hunt the Sisters down. Mitch has the entire FBI behind him, but he's about to discover that he's no match for seven formidable women with an unbreakable bond and a wickedly cunning plan to bring the fight right to his door...
...more","The Sisterhood, a group of seven fearless and wickedly cunning friends, finds itself on the run from the FBI when their latest mission of revenge gets them in trouble with the law. Original."
40,"Linda Lael Miller returns to an unforgettable Montana town for a very special occasion....SPRINGWATER WEDDINGOnce a frontier stagecoach stop, tiny Springwater has grown and changed and entered the twenty-first century. Cattle rustlers may still be stirring up trouble, but now they&aposre high-tech operators in a modern world. Where stagecoaches once rolled along muddy roads, t
Linda Lael Miller returns to an unforgettable Montana town for a very special occasion....SPRINGWATER WEDDINGOnce a frontier stagecoach stop, tiny Springwater has grown and changed and entered the twenty-first century. Cattle rustlers may still be stirring up trouble, but now they're high-tech operators in a modern world. Where stagecoaches once rolled along muddy roads, the Internet is now the newest highway in town. But heartbreak is still heartbreak and love still love, and Springwater still boasts a rich legacy of joy, sorrow, and second chances -- as two childhood sweethearts discover when they rekindle a long-ago passion in the place they will always call home.Maggie McCaffrey left her fast-paced corporate job to take a chance on a more rewarding -- but riskier -- business venture: turning the dilapidated Springwater Station into a bed-and-breakfast. But Maggie didn't count on running straight into J.T. Wainwright, the hometown boy who stole her heart many years before. A tough former New York City cop, J.T. survived a grave gunshot wound and returned to Springwater to find a better way of life. Now, as deputy town marshal, he's facing off with modern-day cattle thieves who are plaguing local ranchers. Stronger than ever, J.T. seems ready for anything -- except, of course, Maggie.As Maggie's B&B begins to take root, a delightful new cast of Springwater locals passes through its doors. Maggie's parents, Kathleen and Reece, are finding that their forty-year marriage requires a little renegotiating now and then. Cindy, a teenage newlywed with a baby on the way, is learning about love and sacrifice for the first time. And town marshal Purvis Digg is turning Springwaterupside down by dating a woman he met on the Internet.As always, Linda Lael Miller enchants readers with her portrayal of the complex tangle of life and love in a small town. With her trademark sensuality and her A3/4air for wit, she once again brings Springwater to life -- this time, at the dawn of a new era.
...more","Maggie McCaffrey abandons her high-pressure career and returns to Springwater to pursue her dream of transforming the old Springwater Station into a modern inn, only to be reunited with her old love, J.T. Wainwright, an ex-cop grieving over the death of his partner."
42,"Snowbound at an inn called the One Eyed-Crow, storytellers from across the realm of Mithgar share eleven mythical adventures around the fireplace.","Snowbound at an inn called the One Eyed-Crow, storytellers from across the realm of Mithgar share eleven mythical adventures around the fireplace."
45,The epic story of a world before Columbus - and a woman bound by a sacred legacy that will live for all time.,"Kwani's beautiful and high-spirited daughter, Antelope, journeys with her Hasinai mate and her daughter to the city of the moundbuilders and into the designs of the Hasinai's Great Sun"
46,"Lindsay Davidson seems to have it all. A 34-year-old interior designer, she’s about to marry Paul Hayes -- think Colin Firth and George Clooney. She has just decided to change careers when two life-changing things occur: she gets the job of her dreams at RTE, and discovers that her fiancé’s been cheating on her.Slowly, she learns to trust again, but her new relationship wi
Lindsay Davidson seems to have it all. A 34-year-old interior designer, she’s about to marry Paul Hayes -- think Colin Firth and George Clooney. She has just decided to change careers when two life-changing things occur: she gets the job of her dreams at RTE, and discovers that her fiancé’s been cheating on her.Slowly, she learns to trust again, but her new relationship with sexy radio presenter Chris breaks down, and this time Lindsay doesn’t give herself time to grieve. A friendship with one of Ireland’s top actors develops after his appearance on the show. Film premieres in New York, in gossip columns and a celebrity lifestyle follow, but somehow Lindsay can’t forget Chris, even though there is now open animosity between them.But life in television is nothing if not exciting, with as much drama off-screen. Lindsay makes some famous new friends and a few enemies, in a world where sex and champagne go hand in hand with scandal and rumour.Meanwhile Paul has realized his mistake and makes a play to get her back…
...more","Ever had your heart blown to smithereens? Ever wondered if happy ever after wasn't the greatest cliche of them all? Lindsay Davidson is not your usual angst-ridden thirty-something. She's struggled and has finally learned how to fly. Her life is sussed. She's just about to marry Paul Hayes - think Johnny Depp meets Colin Firth - when a phone call rips her life apart. Cue bucketloads of tears and self-doubt, giving Lindsay very little to smile about until she lands her dream job. Her new life in television is nothing if not exciting, with as much drama off-screen. Lindsay makes some famous friends and a few enemies in a world where sex and champagne go hand in hand with scandal and rumour. Meanwhile, Paul has realized his mistake and makes a play to get her back..."
47,"You’ve already met her sisters in Cat and Fen. Now meet Pip in this sparkling new bestseller from the queen of fresh romantic fiction -- fabulous, funny and full of sexy, sassy life.","When Zac and Pip first meet, it is far from love or lust at first sight. What can a clown and an accountant possibly have in common? Against a lively backdrop of parties and parks, hospitals and hotels, they attempt to find out."
53,"Elena Waldren has a secret that she&aposs built fences around for the last twenty-nine years and kept from everyone. Through her work with an aid agency, her fears about the plight of a young girl placed with a nearby family finally set her on a quest to uncover the past that she&aposs pushed away for so long. A quest that leads her into the dangerous heart of Montreal&aposs leading c
Elena Waldren has a secret that she's built fences around for the last twenty-nine years and kept from everyone. Through her work with an aid agency, her fears about the plight of a young girl placed with a nearby family finally set her on a quest to uncover the past that she's pushed away for so long. A quest that leads her into the dangerous heart of Montreal's leading crime family, the Lacailles. The Lacaille brothers are at odds over their business aims for the future. Caught in the middle is the money-man holding the key to legitimizing their enterprises, Georges Donatien. But as much as Donatien could be their saviour, he is also the last witness to a murder that could bring their empire crashing down.
...more","Elena Waldren has kept a secret for twenty-nine years. Kept it from everyone - including herself. Then, when memories of her own past are stirred up by her fears for the safety of a young girl, she sets out on a desperate quest to uncover the truth she has hidden from for so long. But desperate starts to become deadly when Elena's quest takes her across the Atlantic, and she discovers that the key to her past is deep in the heart of a powerful Montreal crime family: the Lacailles. The family is in bloody turmoil at the centre of which is Georges Donatien, a good man trapped by violence and deceit - and the last witness to a murder that could bring the Lacaille empire crashing down. With time fast running out for Georges, Elena is horrified to discover that the key to her past might now be lost for ever. . ."
55,"Maureen O&aposDonnell wakes up one morning to find her therapist boyfriend murdered in the middle of her living room and herself a prime suspect in a murder case. Determined to clear her name, Maureen undertakes her own investigation and learns of a similar murder at a local psychiatric hospital.She soon uncovers a trail of deception and repressed scandal that could clear her 
Maureen O'Donnell wakes up one morning to find her therapist boyfriend murdered in the middle of her living room and herself a prime suspect in a murder case. Determined to clear her name, Maureen undertakes her own investigation and learns of a similar murder at a local psychiatric hospital.She soon uncovers a trail of deception and repressed scandal that could clear her name - or make her the next victim.
...more","Mental breakdown survivor Maureen is about to end her affair with a married man when she discovers his body in her living room, his throat slit. Suspected of murder, Maureen must act fast - before the real killer comes after her."
56,"Upon the death of her grandfather, Meg Venturi unexpectedly inherits the eccentric millionaires antique jewelry business. There is one catch to her sudden windfall - she must share the wealth with a taciturn and oddly attractive young man who has an entire town stirring up rumors - about murderous secrets and a dark legacy. Now Meg is about to learn the truth behind an old
Upon the death of her grandfather, Meg Venturi unexpectedly inherits the eccentric millionaires antique jewelry business. There is one catch to her sudden windfall - she must share the wealth with a taciturn and oddly attractive young man who has an entire town stirring up rumors - about murderous secrets and a dark legacy. Now Meg is about to learn the truth behind an old adage: all that glitters is not gold....
...more",Meg is haunted by a mysterious and increasingly dangerous chain of events after inheriting her grandfather's antique store in New England.
59,"When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and lively mind. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever. In the sparkling come
When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and lively mind. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever. In the sparkling comedy of manners that follows, Jane Austen shows the folly of judging by first impressions and superbly evokes the friendships, gossip and snobberies of provincial middle-class life.
...more","Lizzy's embarrassing mother is determined to pair her off as soon as possible. But when she's introduced to the highly eligible bachelor Darcy, Lizzy decides he is far too aloof for her liking. He, for his part, seems totally indifferent to her. Then she discovers that he's been meddling in her family's affairs, and is determined to dislike him more than ever. But what are Darcy's real motives? Is he more interested in Lizzy than he'll care to admit? And could pride stop them both from admitting what they really feel?"
60,"Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr Knightley and attempts to arrange a suitable match for her protégée Harriet Smith, her carefully l
Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr Knightley and attempts to arrange a suitable match for her protégée Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.
...more","She's beautiful, rich and clever, and has decided she's perfectly happy with the single life. What Emma does love, however, is interfering in other people's business (and she is always convinced she's right). When she ignores the advice of her friend Mr Knightley and insists on matchmaking for her friend Harriet, her carefully laid plans go disastrously wrong. Is Emma so wrapped up in other people's love lives that she fails to spot happiness when it's right under her nose? Perhaps, when it comes to affairs of the heart, she can't control everything after all . . ."
61,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing, but unsuitable John Willoughby, she ignores her sister Elinor&aposs warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest t
Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing, but unsuitable John Willoughby, she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love - and its threatened loss - the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.
...more","Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love - and its threatened loss - the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love."
62,"In With No One as Witness, her thirteenth novel, Elizabeth George has crafted an intricate and absorbing story sure to enthrall her readers. Detective Inspector Thomas Lynley, along with his longtime partner, the fiery Barbara Havers, and newly promoted Detective Sergeant Winston Nkata, is back, and on the hunt for a sinister killer.When an adolescent boy&aposs nude body is fo
In With No One as Witness, her thirteenth novel, Elizabeth George has crafted an intricate and absorbing story sure to enthrall her readers. Detective Inspector Thomas Lynley, along with his longtime partner, the fiery Barbara Havers, and newly promoted Detective Sergeant Winston Nkata, is back, and on the hunt for a sinister killer.When an adolescent boy's nude body is found mutilated and artfully arranged on the top of a tomb, it takes no large leap for the police to recognize this as the work of a serial killer. This is the fourth victim in three months but the first to be white.Hoping to avoid charges of institutionalized racism in its failure to pursue the earlier crimes to their conclusion, New Scotland Yard hands the case over to Lynley and his colleagues. The killer is a psychopath who does not intend to be stopped. Worse, a devastating tragedy within the police ranks causes them to fumble in their pursuit of him.With a surprise ending that will shock readers to the core, With No One as Witness is full of the mesmerizing action and psychological intrigue that are the hallmarks of Elizabeth George's work and continue to prove that she is ""a master of the English mystery."" (New York Times).Performed by Charles Keating
...more","The police never suspected a serial killer was at large until they found the third murdered boy, the first white victim, his body draped over a tomb in a London graveyard. Suddenly a series of crimes and a potential public relations disaster have Scotland Yard on the defensive, scrambling to apprehend a maniac while avoiding accusations of racism. Detective Superintendent Thomas Lynley, distracted by concerns for his pregnant wife, has been assigned to the investigation, along with his disgraced partner, Barbara Havers, who's fighting for her professional future. Winston Nkata, deservedly, if hastily, promoted to detective sergeant, is the black face who will speak to the media. But none of them can imagine the tenacity and ingenuity of the killer they seek . . . and no one is prepared for the savage, shocking instant when everything will change forever."
63,"Winner of the Prix Goncourt, Laurent Gaudé’s The House of Scorta follows five generations of the infamous Scorta family as they struggle to survive in a small southern Italian village. While their scandalous history confronts them at every turn, they are blessed with an imposing pride and a relentless faith in their own power. The lyrical narrative is punctuated by the con
Winner of the Prix Goncourt, Laurent Gaudé’s The House of Scorta follows five generations of the infamous Scorta family as they struggle to survive in a small southern Italian village. While their scandalous history confronts them at every turn, they are blessed with an imposing pride and a relentless faith in their own power. The lyrical narrative is punctuated by the confessions of the elderly Carmela, revealing her family’s past of notorious crimes, forsaken loves, and long-buried secrets.
...more","The story of the Scortas opens in 1870 with Rocco Scorta Mascalzone, the bastard product of a rape and a notorious scoundrel, whose legacy the family is forced to confront, but while the Scortas' lineage seems doomed to struggle, they are blessed with an imposing pride and a relentless faith in their own power."
64,"&aposWriter seeks ""wife"" for a year on tropical island.&aposThe opportunity to escape from it all was irresistible. Lucy Irvine answered the advertisement - and found herself alone on a remote desert island with a &aposhusband&apos she hardly knew.Lucy Irvine fell in love with the seductive, if cruel, beauty of that untouched Eden, whose power to enslave and enchant her never slackened th
'Writer seeks ""wife"" for a year on tropical island.'The opportunity to escape from it all was irresistible. Lucy Irvine answered the advertisement - and found herself alone on a remote desert island with a 'husband' she hardly knew.Lucy Irvine fell in love with the seductive, if cruel, beauty of that untouched Eden, whose power to enslave and enchant her never slackened throughout the whole of her amazing adventure.Uncompromisingly candid and sometimes shocking, Castaway is her compulsively readable account of a desert island dream which threatened to turn into a nightmare of illness, thirst and personal antipathy.
...more","""Writer seeks ""wife"" for a year on tropical island.'i>he opportunity to escape from it all was irresistible. Lucy Irvine answered the advertisement - and found herself alone on a remote desert island with a 'husband' she hardly knew. Lucy Irvine fell in love with the seductive, if cruel, beauty of that untouched Eden, whose power to enslave and enchant her never slackened throughout the whole of her amazing adventure. Uncompromisingly candid and sometimes shocking, Castawayis her compulsively readable account of a desert island dream which threatened to turn into a nightmare of illness, thirst and personal antipathy."""
